rank,name,total_score,pronounceability,memorability,visual_strength,global_neutrality,technology_fit,premium_perception,expansion_potential,distinctiveness,syllables,strategy,closest_brand,similarity_percent
62,ZIVAZO,93.94,17.94,15,9.65,10,8.7,9.2,10,13.45,3,syllable-recombination,LOVABLE,27.32
63,NEZEZI,93.9,17.94,15,9.65,10,8.7,9.2,10,13.41,3,syllable-recombination,PINTEREST,27.5
64,RIVOSA,93.9,17.94,15,9.65,10,8.7,9.2,10,13.41,3,syllable-recombination,MICROSOFT,27.5
65,ROZOZA,93.9,17.94,15,9.65,10,8.7,9.2,10,13.41,3,syllable-recombination,MICROSOFT,27.5
66,VIZESA,93.9,17.94,15,9.65,10,8.7,9.2,10,13.41,3,syllable-recombination,PINTEREST,27.5
67,VIZISO,93.9,17.94,15,9.65,10,8.7,9.2,10,13.41,3,syllable-recombination,MICROSOFT,27.5
68,RAHAZI,93.85,17.49,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,DATABRICKS,25.33
69,VAZEFA,93.85,17.49,15,9.65,10,8.7,9.2,10,13.81,3,syllable-recombination,SALESFORCE,25.33
70,NAZEKI,93.84,17.94,15,9.65,10,8.7,9.2,10,13.35,3,syllable-recombination,SCALEAI,27.86
71,RIZAKA,93.84,17.94,15,9.65,10,8.7,9.2,10,13.35,3,syllable-recombination,ALIBABA,27.86
72,VOLEDI,93.84,17.94,15,9.65,10,8.7,9.2,10,13.35,3,syllable-recombination,SCALEAI,27.86
73,ZAVAKO,93.84,17.94,15,9.65,10,8.7,9.2,10,13.35,3,syllable-recombination,DATADOG,27.86
74,ZIVAZA,93.84,17.94,15,9.65,10,8.7,9.2,10,13.35,3,syllable-recombination,ALIBABA,27.86
75,RAVORI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,CURSOR,28.33
76,VAGAKI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
77,VAKAGA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
78,VAVIME,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,IBM,28.33
79,VAVOSA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,XAI,28.33
80,VIMAKI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
81,VIMIKI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
82,VIZAKE,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
83,VIZEKA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
84,VOBUKO,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
85,VOKADA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
86,VOKECA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
87,VOKEPA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
88,VOKIZA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
89,VOKOTE,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,TIKTOK,28.33
90,VOSESI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,XAI,28.33
91,VOVOTI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,META,28.33
92,VOZICA,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,VERCEL,28.33
93,ZIZAVI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,ZOOM,28.33
94,ZIZEVI,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,ZOOM,28.33
95,ZIZIVE,93.75,17.94,15,9.65,10,8.7,9.2,10,13.26,3,syllable-recombination,ZOOM,28.33
96,VIFAFI,93.73,17.04,15,9.65,10,8.7,9.2,10,14.14,3,syllable-recombination,HUGGINGFACE,23.56
97,VOBOTI,93.73,17.94,15,9.65,10,8.7,9.2,10,13.24,3,syllable-recombination,STABILITY,28.44
98,RIZEFI,93.71,17.49,15,9.65,10,8.7,9.2,10,13.67,3,syllable-recombination,MICROSOFT,26.11
99,ZARAFI,93.71,17.49,15,9.65,10,8.7,9.2,10,13.67,3,syllable-recombination,MICROSOFT,26.11
100,DIZAVI,93.64,17.94,15,9.65,10,8.4,9.2,10,13.45,3,syllable-recombination,DATADOG,27.32
