name,strategy,reason
jassai,phonetic-construction,offensive-negative
failgeo,phonetic-construction,offensive-negative
hella,phonetic-construction,offensive-negative
pofail,consonant-vowel-model,offensive-negative
hatezi,syllable-recombination,offensive-negative
painnai,phonetic-construction,offensive-negative
painar,consonant-vowel-model,offensive-negative
drasso,phonetic-construction,offensive-negative
prupain,consonant-vowel-model,offensive-negative
paindre,phonetic-construction,offensive-negative
krassai,phonetic-construction,offensive-negative
failloa,phonetic-construction,offensive-negative
troassia,phonetic-construction,offensive-negative
faili,consonant-vowel-model,offensive-negative
koassa,phonetic-construction,offensive-negative
zanazi,syllable-recombination,offensive-negative
liassa,phonetic-construction,offensive-negative
nassae,phonetic-construction,offensive-negative
painpru,phonetic-construction,offensive-negative
tiasso,phonetic-construction,offensive-negative
painva,phonetic-construction,offensive-negative
evili,short-premium,offensive-negative
zoassia,phonetic-construction,offensive-negative
senazi,syllable-recombination,offensive-negative
koassu,phonetic-construction,offensive-negative
brasse,phonetic-construction,offensive-negative
biasse,phonetic-construction,offensive-negative
gassio,phonetic-construction,offensive-negative
panazi,syllable-recombination,offensive-negative
drasse,phonetic-construction,offensive-negative
curse,phonetic-construction,offensive-negative
failjio,phonetic-construction,offensive-negative
priapain,consonant-vowel-model,offensive-negative
goasso,phonetic-construction,offensive-negative
saevil,consonant-vowel-model,offensive-negative
failbra,phonetic-construction,offensive-negative
zassoa,phonetic-construction,offensive-negative
miasse,phonetic-construction,offensive-negative
brevil,consonant-vowel-model,offensive-negative
hiassio,phonetic-construction,offensive-negative
painmae,phonetic-construction,offensive-negative
cassi,phonetic-construction,offensive-negative
painai,consonant-vowel-model,offensive-negative
bofail,consonant-vowel-model,offensive-negative
siasseo,phonetic-construction,offensive-negative
kiofail,consonant-vowel-model,offensive-negative
broasso,phonetic-construction,offensive-negative
paingo,phonetic-construction,offensive-negative
viassi,phonetic-construction,offensive-negative
drassai,phonetic-construction,offensive-negative
dumbroa,phonetic-construction,offensive-negative
nazibo,syllable-recombination,offensive-negative
voassio,phonetic-construction,offensive-negative
helli,phonetic-construction,offensive-negative
miassae,phonetic-construction,offensive-negative
troassai,phonetic-construction,offensive-negative
tiassia,phonetic-construction,offensive-negative
proanus,consonant-vowel-model,offensive-negative
painmio,phonetic-construction,offensive-negative
trapain,consonant-vowel-model,offensive-negative
hateli,syllable-recombination,offensive-negative
faila,consonant-vowel-model,offensive-negative
previl,consonant-vowel-model,offensive-negative
painfo,phonetic-construction,offensive-negative
dassai,phonetic-construction,offensive-negative
failkai,phonetic-construction,offensive-negative
hahate,syllable-recombination,offensive-negative
basseo,phonetic-construction,offensive-negative
ciassio,phonetic-construction,offensive-negative
brassoa,phonetic-construction,offensive-negative
failrai,phonetic-construction,offensive-negative
damnoa,phonetic-construction,offensive-negative
goasseo,phonetic-construction,offensive-negative
soassa,phonetic-construction,offensive-negative
failrae,phonetic-construction,offensive-negative
priassai,phonetic-construction,offensive-negative
painiol,consonant-vowel-model,offensive-negative
hateda,syllable-recombination,offensive-negative
bombra,phonetic-construction,offensive-negative
loasseo,phonetic-construction,offensive-negative
paintae,phonetic-construction,offensive-negative
kriasseo,phonetic-construction,offensive-negative
failzoa,phonetic-construction,offensive-negative
failse,phonetic-construction,offensive-negative
painprae,phonetic-construction,offensive-negative
lihate,syllable-recombination,offensive-negative
failux,consonant-vowel-model,offensive-negative
faileo,consonant-vowel-model,offensive-negative
briassai,phonetic-construction,offensive-negative
roassoa,phonetic-construction,offensive-negative
painma,phonetic-construction,offensive-negative
failior,consonant-vowel-model,offensive-negative
siassae,phonetic-construction,offensive-negative
zassi,phonetic-construction,offensive-negative
failnae,phonetic-construction,offensive-negative
piassia,phonetic-construction,offensive-negative
damnia,phonetic-construction,offensive-negative
joassae,phonetic-construction,offensive-negative
bohate,syllable-recombination,offensive-negative
minazi,syllable-recombination,offensive-negative
monazi,syllable-recombination,offensive-negative
koapain,consonant-vowel-model,offensive-negative
painfia,phonetic-construction,offensive-negative
traifail,consonant-vowel-model,offensive-negative
ziassai,phonetic-construction,offensive-negative
bassio,phonetic-construction,offensive-negative
failvae,phonetic-construction,offensive-negative
dassi,phonetic-construction,offensive-negative
trassi,phonetic-construction,offensive-negative
kevilo,syllable-recombination,offensive-negative
tiarse,phonetic-construction,offensive-negative
driapain,consonant-vowel-model,offensive-negative
naziax,consonant-vowel-model,offensive-negative
failhio,phonetic-construction,offensive-negative
failcio,phonetic-construction,offensive-negative
nassai,phonetic-construction,offensive-negative
priarse,phonetic-construction,offensive-negative
failtio,phonetic-construction,offensive-negative
goassia,phonetic-construction,offensive-negative
nazio,consonant-vowel-model,offensive-negative
cevili,syllable-recombination,offensive-negative
joassi,phonetic-construction,offensive-negative
failkreo,phonetic-construction,offensive-negative
failreo,phonetic-construction,offensive-negative
vahate,syllable-recombination,offensive-negative
bonazi,syllable-recombination,offensive-negative
riarse,phonetic-construction,offensive-negative
briassu,phonetic-construction,offensive-negative
buhate,syllable-recombination,offensive-negative
faileox,consonant-vowel-model,offensive-negative
fassi,phonetic-construction,offensive-negative
nevilo,syllable-recombination,offensive-negative
pissa,phonetic-construction,offensive-negative
killae,phonetic-construction,offensive-negative
hatesa,syllable-recombination,offensive-negative
tiapain,consonant-vowel-model,offensive-negative
failai,consonant-vowel-model,offensive-negative
biapain,consonant-vowel-model,offensive-negative
pissu,phonetic-construction,offensive-negative
roassu,phonetic-construction,offensive-negative
failmo,phonetic-construction,offensive-negative
failpae,phonetic-construction,offensive-negative
siarse,phonetic-construction,offensive-negative
casseo,phonetic-construction,offensive-negative
kraipain,consonant-vowel-model,offensive-negative
failbro,phonetic-construction,offensive-negative
rassae,phonetic-construction,offensive-negative
carse,phonetic-construction,offensive-negative
paindra,phonetic-construction,offensive-negative
hatera,syllable-recombination,offensive-negative
painge,phonetic-construction,offensive-negative
failkeo,phonetic-construction,offensive-negative
nevila,syllable-recombination,offensive-negative
boassa,phonetic-construction,offensive-negative
nenazi,syllable-recombination,offensive-negative
massia,phonetic-construction,offensive-negative
toassu,phonetic-construction,offensive-negative
doassia,phonetic-construction,offensive-negative
sipain,consonant-vowel-model,offensive-negative
diassai,phonetic-construction,offensive-negative
mentio,phonetic-construction,ambiguous-pronunciation
ceja,syllable-recombination,ambiguous-pronunciation
miori,invented-morphemes,ambiguous-pronunciation
salio,multilingual-neutral,ambiguous-pronunciation
zaertu,phonetic-construction,ambiguous-pronunciation
draezan,consonant-vowel-model,ambiguous-pronunciation
naliu,multilingual-neutral,ambiguous-pronunciation
vaemo,consonant-vowel-model,ambiguous-pronunciation
zaora,invented-morphemes,ambiguous-pronunciation
kasio,multilingual-neutral,ambiguous-pronunciation
tiomnio,phonetic-construction,ambiguous-pronunciation
tiagim,consonant-vowel-model,ambiguous-pronunciation
mamia,multilingual-neutral,ambiguous-pronunciation
sensae,phonetic-construction,ambiguous-pronunciation
noprio,consonant-vowel-model,ambiguous-pronunciation
maviu,multilingual-neutral,ambiguous-pronunciation
prostria,phonetic-construction,ambiguous-pronunciation
mariu,multilingual-neutral,ambiguous-pronunciation
sairle,phonetic-construction,ambiguous-pronunciation
doajiom,consonant-vowel-model,ambiguous-pronunciation
daviu,multilingual-neutral,ambiguous-pronunciation
cebi,syllable-recombination,ambiguous-pronunciation
foava,consonant-vowel-model,ambiguous-pronunciation
zaavi,invented-morphemes,ambiguous-pronunciation
bamia,multilingual-neutral,ambiguous-pronunciation
haestre,phonetic-construction,ambiguous-pronunciation
hiheox,consonant-vowel-model,ambiguous-pronunciation
mamio,multilingual-neutral,ambiguous-pronunciation
noljai,phonetic-construction,ambiguous-pronunciation
driave,consonant-vowel-model,ambiguous-pronunciation
zaira,invented-morphemes,ambiguous-pronunciation
raria,multilingual-neutral,ambiguous-pronunciation
moamkre,phonetic-construction,ambiguous-pronunciation
peorai,consonant-vowel-model,ambiguous-pronunciation
miavi,invented-morphemes,ambiguous-pronunciation
baniu,multilingual-neutral,ambiguous-pronunciation
heoprio,consonant-vowel-model,ambiguous-pronunciation
dariu,multilingual-neutral,ambiguous-pronunciation
kaibroa,consonant-vowel-model,ambiguous-pronunciation
bamio,multilingual-neutral,ambiguous-pronunciation
riosvu,phonetic-construction,ambiguous-pronunciation
jukrae,consonant-vowel-model,ambiguous-pronunciation
seavi,invented-morphemes,ambiguous-pronunciation
damiu,multilingual-neutral,ambiguous-pronunciation
prunzia,phonetic-construction,ambiguous-pronunciation
hiobai,consonant-vowel-model,ambiguous-pronunciation
nalio,multilingual-neutral,ambiguous-pronunciation
gusveo,phonetic-construction,ambiguous-pronunciation
heogur,consonant-vowel-model,ambiguous-pronunciation
raora,invented-morphemes,ambiguous-pronunciation
maliu,multilingual-neutral,ambiguous-pronunciation
biascia,phonetic-construction,ambiguous-pronunciation
brefoa,consonant-vowel-model,ambiguous-pronunciation
kanio,multilingual-neutral,ambiguous-pronunciation
biorhu,phonetic-construction,ambiguous-pronunciation
zamia,multilingual-neutral,ambiguous-pronunciation
faicae,consonant-vowel-model,ambiguous-pronunciation
